   1.406268e+00  -1.028019e+00   9.821904e+01   1.191174e-01  -7.550691e+03   4.428558e-01
   1.406171e+00  -1.027675e+00   9.821904e+01   1.191174e-01  -7.550691e+03   4.428558e-01
   1.406074e+00  -1.027329e+00   9.821904e+01   1.191174e-01  -7.550691e+03   4.428558e-01
   1.405976e+00  -1.026983e+00   9.821904e+01   1.191174e-01  -7.551335e+03   4.426801e-01
   1.405877e+00  -1.026638e+00   9.821904e+01   1.191174e-01  -7.552439e+03   4.423757e-01
   1.405779e+00  -1.026291e+00   9.821904e+01   1.191174e-01  -7.554004e+03   4.419802e-01
   1.405679e+00  -1.025945e+00   9.821904e+01   1.191174e-01  -7.556039e+03   4.415140e-01
   1.405580e+00  -1.025598e+00   9.821904e+01   1.191174e-01  -7.558554e+03   4.409852e-01
   1.405480e+00  -1.025251e+00   9.821904e+01   1.191174e-01  -7.561561e+03   4.403949e-01
   1.405379e+00  -1.024904e+00   9.821904e+01   1.191174e-01  -7.565074e+03   4.397404e-01
   1.405278e+00  -1.024557e+00   9.821904e+01   1.191174e-01  -7.569108e+03   4.390176e-01
   1.405177e+00  -1.024209e+00   9.821904e+01   1.191174e-01  -7.573678e+03   4.382224e-01
   1.405075e+00  -1.023861e+00   9.821904e+01   1.191174e-01  -7.578798e+03   4.373516e-01
   1.404972e+00  -1.023513e+00   9.821904e+01   1.191174e-01  -7.584484e+03   4.364028e-01
   1.404869e+00  -1.023165e+00   9.821904e+01   1.191174e-01  -7.590755e+03   4.353738e-01
   1.404766e+00  -1.022817e+00   9.821904e+01   1.191174e-01  -7.597624e+03   4.342636e-01
   1.404662e+00  -1.022468e+00   9.821904e+01   1.191174e-01  -7.605105e+03   4.330719e-01
   1.404558e+00  -1.022120e+00   9.821904e+01   1.191174e-01  -7.613216e+03   4.317977e-01
   1.404453e+00  -1.021771e+00   9.821904e+01   1.191174e-01  -7.621976e+03   4.304404e-01
   1.404348e+00  -1.021422e+00   9.821904e+01   1.191174e-01  -7.631397e+03   4.289996e-01
   1.404243e+00  -1.021073e+00   9.821904e+01   1.191174e-01  -7.641496e+03   4.274749e-01
   1.404137e+00  -1.020723e+00   9.821904e+01   1.191174e-01  -7.652289e+03   4.258648e-01
   1.404030e+00  -1.020373e+00   9.821904e+01   1.191174e-01  -7.663796e+03   4.241682e-01
   1.403923e+00  -1.020024e+00   9.821904e+01   1.191174e-01  -7.676029e+03   4.223842e-01
   1.403816e+00  -1.019674e+00   9.821904e+01   1.191174e-01  -7.689000e+03   4.205116e-01
   1.403708e+00  -1.019324e+00   9.821904e+01   1.191174e-01  -7.702732e+03   4.185479e-01
   1.403599e+00  -1.018973e+00   9.821904e+01   1.191174e-01  -7.717239e+03   4.164918e-01
   1.403491e+00  -1.018623e+00   9.821904e+01   1.191174e-01  -7.732534e+03   4.143412e-01
   1.403381e+00  -1.018272e+00   9.821904e+01   1.191174e-01  -7.748640e+03   4.120933e-01
   1.403271e+00  -1.017921e+00   9.821904e+01   1.191174e-01  -7.765568e+03   4.097459e-01
   1.403161e+00  -1.017571e+00   9.821904e+01   1.191174e-01  -7.783335e+03   4.072967e-01
   1.403050e+00  -1.017219e+00   9.821904e+01   1.191174e-01  -7.801955e+03   4.047425e-01
   1.402939e+00  -1.016868e+00   9.821904e+01   1.191174e-01  -7.821447e+03   4.020800e-01
   1.402827e+00  -1.016517e+00   9.821904e+01   1.191174e-01  -7.841830e+03   3.993058e-01
   1.402715e+00  -1.016165e+00   9.821904e+01   1.191174e-01  -7.863112e+03   3.964168e-01
   1.402602e+00  -1.015813e+00   9.821904e+01   1.191174e-01  -7.885312e+03   3.934092e-01
   1.402489e+00  -1.015461e+00   9.821904e+01   1.191174e-01  -7.908449e+03   3.902788e-01
   1.402376e+00  -1.015109e+00   9.821904e+01   1.191174e-01  -7.932536e+03   3.870215e-01
   1.402261e+00  -1.014757e+00   9.821904e+01   1.191174e-01  -7.957581e+03   3.836339e-01
   1.402147e+00  -1.014405e+00   9.821904e+01   1.191174e-01  -7.983615e+03   3.801099e-01
   1.402032e+00  -1.014052e+00   9.821904e+01   1.191174e-01  -8.010649e+03   3.764452e-01
   1.401916e+00  -1.013700e+00   9.821904e+01   1.191174e-01  -8.038687e+03   3.726360e-01
   1.401800e+00  -1.013347e+00   9.821904e+01   1.191174e-01  -8.067756e+03   3.686761e-01
   1.401683e+00  -1.012994e+00   9.821904e+01   1.191174e-01  -8.097875e+03   3.645597e-01
   1.401566e+00  -1.012641e+00   9.821904e+01   1.191174e-01  -8.129052e+03   3.602819e-01
   1.401449e+00  -1.012287e+00   9.821904e+01   1.191174e-01  -8.161293e+03   3.558378e-01
   1.401331e+00  -1.011934e+00   9.821904e+01   1.191174e-01  -8.194625e+03   3.512207e-01
   1.401212e+00  -1.011581e+00   9.821904e+01   1.191174e-01  -8.229065e+03   3.464238e-01
   1.401093e+00  -1.011227e+00   9.821904e+01   1.191174e-01  -8.264630e+03   3.414408e-01
   1.400973e+00  -1.010873e+00   9.821904e+01   1.191174e-01  -8.301329e+03   3.362657e-01
   1.400853e+00  -1.010520e+00   9.821904e+01   1.191174e-01  -8.339174e+03   3.308921e-01
   1.400733e+00  -1.010166e+00   9.821904e+01   1.191174e-01  -8.378184e+03   3.253127e-01
   1.400612e+00  -1.009812e+00   9.821904e+01   1.191174e-01  -8.418368e+03   3.195210e-01
   1.400490e+00  -1.009457e+00   9.821904e+01   1.191174e-01  -8.459751e+03   3.135087e-01
